,Username,sentiment
895,abhijitsagar07,
896,abwrym677116525,
897,acerezon,
898,achintyasingh04,
899,acreedds,
900,adebola_badejo,
901,adele_nix,
902,adhisrini87,
903,adityakumar1916,
904,adjtk01,
905,adnanawaira786,
906,afoo01,
907,agarnica52,
908,aigbojemma,
909,ajazahmadmohd,
910,ajithsebastia10,
911,ak68a,
912,akashiromegane,
913,akki_dj,
914,alexandra1479,
915,alexisv_21,
916,ali98_98,
917,alien4president,
918,alishan1x,
919,alsmawy31520085,
920,altun_aral,
921,alvarito_medina,
922,amandaxie,
923,amandwi39776875,
924,amendra_naagar,
925,amjadalfadilx1,
926,anacrisbelloso,
927,andsonlin,
928,anhass__,
929,aniketdhar8,
930,ankur_cosial,
931,ansarialiabbas9,
932,anton181195,
933,antunesbrun01,
934,anwer_ragab,
935,aparedess__,
936,archit_saraogi,
937,aristea_papa_97,
938,armo_stickman,
939,arseprec,
940,arvind_joshi,
941,asamoah023,
942,ashiqem,
943,ashurhod,
944,atreye_e06,
945,avptech,
946,az_qw51,
947,azumusu_defo,
948,b4EMdjcMqfjLcrf,
949,bErE_nAiSi,
950,ba3llo,
951,babyog_389,
952,bash3_,
953,bcwatson1975,
954,behtea,
955,bemarvelous1,
956,beramarton,
957,bhagira18150351,
958,bhatta_arijit,
959,bhusal_mandeep,
960,bigslumppaco,
961,binaykmryadav,
962,blacklogann,
963,blanks1991,
964,blaqboiceekay,
965,bluehue99,
966,bond_sin,
967,bossthericky,
968,braulioseabra,
969,breakout4412,
970,brizman_,
971,brunololi5,
972,buhlembel,
973,bujarselimi21,
974,butimnothave,
975,byrd5620,
976,call_me_tt_1997,
977,canderson334,
978,cangunbatan,
979,canpolatkc,
980,carl_c_kraemer,
981,carlosrafaeleb,
982,carlossalas_1,
983,caryhumphries,
984,cassialilian,
985,cassiocarletti,
986,casumeetgarg,
987,cdzO8QkZgU2wYRv,
988,ceiphr,
989,cemilolak2,
990,cerebatant3131,
991,cessjoy2020,
992,charles40958113,
993,charskaph,
994,chendaw48050461,
995,cherxxryxh,
996,chetan2587,
997,chetangaikwad24,
998,chiaoooooo__,
999,chinonuela,
1000,chng_mark,
1001,chokilol,
1002,chribour,
1003,chris_keate,
1004,christo53252475,
1005,cihan49882638,
1006,clarance_45,
1007,clashnl87,
1008,clown01282,
1009,coldsummers69,
1010,colthepar,
1011,conwaew,
1012,corina_milligan,
1013,crewj2019,
1014,crystalallan1,
1015,cryto_r0ller,
1016,curuchet_hernan,
1017,cxlifso,
1018,dalgon88,
1019,dancedw,
1020,dandyszn_,
1021,daniel_luzitu,
1022,dannyuranus,
1023,dany1792,
1024,dashu46119132,
1025,davidahcox,
1026,davidsanchezlau,
1027,dbopwer,
1028,deI0ebFUoosrNzy,
1029,dedlers,
1030,deepshamsher,
1031,demogaming_v,
1032,der_mentat,
1033,designitis,
1034,dhamu_kundan,
1035,dhruvhuja,
1036,dianestephaniec,
1037,dikya23,
1038,dilandaboin1,
1039,dilyanantonov,
1040,dixxam,
1041,dog_in_noodles,
1042,dogan916,
1043,dogzoty,
1044,dokidok200920,
1045,domdagoat69,
1046,dontdienosaurs,
1047,dpooooooo,
1048,dpuvrghese,
1049,dragen19,
1050,dravenhilliard1,
1051,dreyes0515,
1052,drpatrickbennie,
1053,drquezadamd,
1054,dsqfahim,
1055,duhdesantis,
1056,e2AbdulXD,
1057,edcben1,
1058,edgar92117339,
1059,eli_pneuma,
1060,eliana_paola_92,
1061,elmikuvi,
1062,elumalai_786,
1063,emma19802010,
1064,emma_nuellll,
1065,emon8_,
1066,espindolapm,
1067,evanjanovsky,
1068,everttonribeiro,
1069,ex_ce_pt_ion,
1070,ezeizaguirre,
1071,ezravilluri,
1072,f_chhawniwala,
1073,fab3F_official,
1074,fahidul_islam3,
1075,faizyshah,
1076,fakemshow,
1077,fanchtoken,
1078,farah_huseynli,
1079,fdrgergo,
1080,fedeboston,
1081,feipongsapak5,
1082,feliperoodrigss,
1083,fernandesloh17,
1084,fivetroop,
1085,fizikci10947389,
1086,fmedinar07,
1087,fp3217,
1088,franco07_luis,
1089,francotelle1973,
1090,frankacam86,
1091,fraurhee,
1092,fruitonpizza,
1093,furkangomez13,
1094,furnitacture,
1095,gabii_jardiim,
1096,gabribabey,
1097,gabrielrisco,
1098,gamaplayz,
1099,garciae_k,
1100,garnali8,
1101,garzaniz,
1102,gatoo_9228,
1103,gbd67512020,
1104,gdragonkissme,
1105,gemtausag,
1106,geoffHulten,
1107,getab_desta,
1108,ghaiiam,
1109,gonpereyra94,
1110,googoobb2,
1111,gpbolde,
1112,greenyatora,
1113,grisarillo,
1114,grylledtacos,
1115,gs311090,
1116,guolian78791776,
1117,gywp0_c,
1118,h05enryg,
1119,h11gamer,
1120,h8everything_,
1121,hamza_zubairi7,
1122,hana20220501,
1123,hand_bul,
1124,haroon0122,
1125,harshpa34130604,
1126,hasan111_md,
1127,hasnathasan10,
1128,hassan_hnng2,
1129,hauerxing,
1130,haveagr8day_,
1131,hbeaqq,
1132,hbeifen,
1133,hbpoyraz,
1134,hecker2007,
1135,hergeorg,
1136,heyjasur,
1137,hkohjani_25,
1138,hm_ameer01,
1139,hobbiabbas,
1140,hodgietech,
1141,holidayjunior_,
1142,hontakku,
1143,horizonltdco,
1144,horror96311,
1145,hosomijun,
1146,hy_siam,
1147,i_wantbobuk,
1148,iamPSaimbi,
1149,iam_peter_stark,
1150,iamthorynn,
1151,ianmarch31,
1152,idaho4me,
1153,idktbhjk,
1154,imJagadeesh_,
1155,imRSnaresh,
1156,im_vikay,
1157,imarjunrbhatt,
1158,immaterialbrat,
1159,imumeruru,
1160,indalecito,
1161,inigolv,
1162,irina65742021,
1163,isack_orozco99,
1164,itarianmicky,
1165,its_sayan01,
1166,itswasif20,
1167,itzel_rp31,
1168,iurchyk777,
1169,iury_vibe,
1170,ivaniuxxx,
1171,ivanjay205,
1172,ivanovic,
1173,ixpl0re,
1174,izzy81509332,
1175,jacho_man,
1176,jangranitincr7,
1177,jashehonfroy666,
1178,jastinbrent,
1179,javieroswaldopc,
1180,jdf005,
1181,jennstargoddess,
1182,jeremyvigilante,
1183,jesusvaz13,
1184,jhchai80,
1185,jiaowodingdaren,
1186,jignesh455,
1187,jonathanmurrell,
1188,jorgearmandohr,
1189,jorgeayalag27,
1190,jorgeburgueno,
1191,joselin84,
1192,jouejati_bilal,
1193,jovxnnivllgs,
1194,js_realworld,
1195,jsullivan2015,
1196,juank_22000,
1197,juanpamtzj_,
1198,jungalex2,
1199,jus_sarcastic,
1200,justjohn8511,
1201,justlikeares,
1202,jynim555,
1203,k_khidde,
1204,kabeerqadir786,
1205,kaciots,
1206,kafamiznslgzl,
1207,kamil_wie,
1208,kanii_03,
1209,kapiljhajhari14,
1210,karayazma12,
1211,karimaziz12_,
1212,karlstoll1,
1213,kartikaybhat_,
1214,kartikkhanna_16,
1215,kashmirkhan44,
1216,kathy_vra_,
1217,kay_vibey,
1218,kaylev14,
1219,kayovaz_,
1220,kcmaki_ttgan,
1221,kconfere,
1222,kcrutch328,
1223,kenkung8964,
1224,kennyS_____,
1225,khaled11356,
1226,khemSieu,
1227,khwanhathai_93,
